"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regexString"
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringRegexMatcherBenchmark.java_regex_capture","avgt",1,100,201.546652,2.080265,"us/op",^[^aeuio]*[aeuio](.*)[aeuio][^aeuio]*$
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringRegexMatcherBenchmark.java_regex_match","avgt",1,100,138.180499,1.408820,"us/op",^[^aeuio]*[aeuio](.*)[aeuio][^aeuio]*$
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringRegexMatcherBenchmark.regex_capture","avgt",1,100,212.297102,1.521088,"us/op",^[^aeuio]*[aeuio](.*)[aeuio][^aeuio]*$
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringRegexMatcherBenchmark.regex_match","avgt",1,100,141.591599,1.551994,"us/op",^[^aeuio]*[aeuio](.*)[aeuio][^aeuio]*$
