"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isHeavy","Param: value"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.ArithmeticCanonicalizationBenchmarkJava.add","avgt",1,100,2.372116,0.014354,"ns/op",true,179426549
"com.ionutbalosin.jvm.performance.benchmarks.compiler.ArithmeticCanonicalizationBenchmarkJava.shift","avgt",1,100,2.370909,0.011687,"ns/op",true,179426549
