"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: coder","Param: length"
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate.norm","avgt",1,100,1832.000305,0.000011,"B/op",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_builder:gc.count","avgt",1,100,1641.000000,NaN,"counts",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_builder:gc.time","avgt",1,100,2665.000000,NaN,"ms",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat","avgt",1,100,450.420574,31.841557,"ns/op",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate","avgt",1,100,4360.567765,237.949493,"MB/sec",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate.norm","avgt",1,100,1992.000310,0.000022,"B/op",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.count","avgt",1,100,1778.000000,NaN,"counts",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.time","avgt",1,100,2946.000000,NaN,"ms",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat","avgt",1,100,492.489070,27.047571,"ns/op",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate","avgt",1,100,6339.347273,241.245920,"MB/sec",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate.norm","avgt",1,100,3216.000343,0.000019,"B/op",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.count","avgt",1,100,2585.000000,NaN,"counts",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.time","avgt",1,100,4176.000000,NaN,"ms",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template","avgt",1,100,365.649559,19.877193,"ns/op",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.alloc.rate","avgt",1,100,2770.797108,125.669667,"MB/sec",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.alloc.rate.norm","avgt",1,100,1040.000255,0.000014,"B/op",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.count","avgt",1,100,1130.000000,NaN,"counts",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.time","avgt",1,100,1851.000000,NaN,"ms",LATIN1,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template","avgt",1,100,426.945318,16.783845,"ns/op",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.alloc.rate","avgt",1,100,4086.380611,121.725697,"MB/sec",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.alloc.rate.norm","avgt",1,100,1811.200297,3.272272,"B/op",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.count","avgt",1,100,1666.000000,NaN,"counts",UTF16,128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.time","avgt",1,100,2671.000000,NaN,"ms",UTF16,128
