"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isHeavy","Param: value"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.ArithmeticCanonicalizationBenchmarkJava.add","avgt",1,100,12.271262,0.087548,"ns/op",true,179426549
"com.ionutbalosin.jvm.performance.benchmarks.compiler.ArithmeticCanonicalizationBenchmarkJava.shift","avgt",1,100,2.192107,0.015959,"ns/op",true,179426549
