"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"co.datadome.pub.scalabenchmarks.jvms.api.concurrent.DurationBenchmark.add_finite","avgt",1,100,41.559005,0.477470,"ns/op"
"co.datadome.pub.scalabenchmarks.jvms.api.concurrent.DurationBenchmark.add_infinite","avgt",1,100,0.575919,0.004006,"ns/op"
"co.datadome.pub.scalabenchmarks.jvms.api.concurrent.DurationBenchmark.instantiation","avgt",1,100,2.922459,0.212051,"ns/op"
"co.datadome.pub.scalabenchmarks.jvms.api.concurrent.DurationBenchmark.mult_finite","avgt",1,100,5.209050,0.315073,"ns/op"
"co.datadome.pub.scalabenchmarks.jvms.api.concurrent.DurationBenchmark.mult_infinite","avgt",1,100,0.449029,0.007957,"ns/op"
