"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isHeavy","Param: value"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.ArithmeticCanonicalizationBenchmarkJava.add","avgt",1,100,2.379876,0.014310,"ns/op",true,179426549
"com.ionutbalosin.jvm.performance.benchmarks.compiler.ArithmeticCanonicalizationBenchmarkJava.shift","avgt",1,100,2.375336,0.012670,"ns/op",true,179426549
