"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: popSize"
"co.datadome.pub.scalabenchmarks.jvms.misc.popvariance.PopulationVarianceBenchmark.functional","avgt",1,5,1528.686535,1311.363978,"ms/op",134217727
"co.datadome.pub.scalabenchmarks.jvms.misc.popvariance.PopulationVarianceBenchmark.iterative","avgt",1,5,534.571984,3.817143,"ms/op",134217727
