"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..n"
"co.datadome.pub.scalabenchmarks.jvms.misc.nqueens.NQueensBenchmark.backtracking","avgt",1,5,187.899132,0.30142,"ms/op",24
"co.datadome.pub.scalabenchmarks.jvms.misc.nqueens.NQueensBenchmark.simulated_annealing","avgt",1,5,3.125551,1.166196,"ms/op",24
