"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"co.datadome.pub.scalabenchmarks.jvms.api.collections.SetAddBenchmark.add_10","avgt",1,5,5593.226877,22.404407,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.SetAddBenchmark.add_100","avgt",1,5,16209.328533,5.334102,"ns/op",1000
