"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..n"
"co.datadome.pub.scalabenchmarks.jvms.misc.factorial.FactorialBenchmark.dac_big_int_multiply","avgt",1,5,542.454455,5.788233,"us/op",5000
"co.datadome.pub.scalabenchmarks.jvms.misc.factorial.FactorialBenchmark.iterative_big_int_multiply","avgt",1,5,6978.800187,2668.338732,"us/op",5000
