"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: itemsCount"
"co.datadome.pub.scalabenchmarks.jvms.misc.knapsack.KnapsackBenchmark.dynamic","avgt",1,5,13457.980713,2933.945204,"ms/op",50000
"co.datadome.pub.scalabenchmarks.jvms.misc.knapsack.KnapsackBenchmark.greedy","avgt",1,5,11.136933,0.014590,"ms/op",50000
